OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
6903f2c2b0045e047d60ca0eb57744f5	Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	Unidentified_A4b	Unidentified_A4b
726e7d0c83b82cbc604e66bffe9c2e9e	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02	Unidentified_SM1A02
2e267a8289b594fe7c6b9435c43800c3	Bacteria	Firmicutes	Clostridia	Clostridiales	TTA-B61	Unidentified_TTA-B61	Unidentified_TTA-B61
7df48a8107078eff08d95d3f17d7764a	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
8c5edd4afab883789628286005e9caf8	Bacteria	Planctomycetes	Planctomycetacia	Gemmatales	Gemmataceae	Unidentified_Gemmataceae	Unidentified_Gemmataceae
842e15c26b91f0f69fcdb80c75c82392	Bacteria	Planctomycetes	028H05-P-BN-P5	Unidentified_028H05-P-BN-P5	Unidentified_028H05-P-BN-P5	Unidentified_028H05-P-BN-P5	Unidentified_028H05-P-BN-P5
fb4c919b8ed915bd33da3f61f6ef2967	Bacteria	Patescibacteria	ABY1	Candidatus_Magasanikbacteria	Unidentified_Candidatus_Magasanikbacteria	Unidentified_Candidatus_Magasanikbacteria	Unidentified_Candidatus_Magasanikbacteria
e4e69cf0e921f7f26e19977ebcadb121	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	Simkaniaceae	Unidentified_Simkaniaceae	Unidentified_Simkaniaceae
16dc34fdb4e9458dd1da9b4d18bbd196	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae	Unidentified_Saprospiraceae	Unidentified_Saprospiraceae
7891219a5577c9601984af5b987b8bfd	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	Simkaniaceae	Unidentified_Simkaniaceae	Unidentified_Simkaniaceae
3d4a985c4d2beb1e4494116219bdcbf4	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	Oligoflexaceae	Unidentified_Oligoflexaceae	Unidentified_Oligoflexaceae
032076c6855b43478911f3e7fe1edc49	Bacteria	Planctomycetes	Phycisphaerae	MSBL9	SG8-4	Unidentified_SG8-4	Unidentified_SG8-4
817dd28fe58e1f243b23b1ef0cbac7b1	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	Unidentified_Diplorickettsiaceae	Unidentified_Diplorickettsiaceae
2b853333358530a4e4ae94f33c14a6e4	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Microscillaceae	Unidentified_Microscillaceae	Unidentified_Microscillaceae
fb84fbe522a920dc1a45973a4970ed36	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Unidentified_Anaerolineaceae	Unidentified_Anaerolineaceae
d1dbf949b8f7ebd8d453090e6073277e	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Herpetosiphonaceae	Herpetosiphon	uncultured_bacterium
ba0ecc2e82f7c2741c7b8a1b641f3431	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	Parachlamydiaceae	Neochlamydia	Unidentified_Neochlamydia
a5624d83cc816dd3a25d45d7c04610cc	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02	uncultured_bacterium
4466122dfdb03802d3e5c8f9b122b456	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae	Unidentified_Vermiphilaceae	Unidentified_Vermiphilaceae
